Jugador,Nacionalidad,Posicion,Equipo,Competicion,Edad,Partidos jugados,Minutos jugados,Titularidades,Goles,Asistencias,Atajadas,Penales atajados,Penales convertidos,Penales ejecutados,Entradas (tackles),Tarjetas amarillas,Tarjetas rojas,Regates exitosos,Pases completados,Intercepciones,Nac_Esperada,Es_autoctono
Alejandro Balde,es ESP,DF,Barcelona,La Liga,21.0,29,2114,25,0,4,,,0,0,17,2,0,42,1177,5,es ESP,True
Keita Baldé,sn SEN,FW,Monza,Serie A,30.0,9,490,6,2,0,,,0,0,1,2,0,4,133,2,it ITA,False
Carlos Baleba,cm CMR,MF,Brighton,Premier League,21.0,32,2481,29,3,1,,,0,0,73,8,1,32,1081,43,eng ENG,False
Leonardo Balerdi,ar ARG,DF,Marseille,Ligue 1,26.0,26,2183,26,0,0,,,0,0,50,9,1,21,2288,32,fr FRA,False
Iván Balliu,al ALB,DF,Rayo Vallecano,La Liga,33.0,22,986,9,0,0,,,0,0,15,2,0,3,415,10,es ESP,False
Fodé Ballo-Touré,sn SEN,DF,Le Havre,Ligue 1,28.0,9,517,8,0,0,,,0,0,8,0,0,5,228,3,fr FRA,False
Botond Balogh,hu HUN,DF,Parma,Serie A,22.0,27,1873,21,0,1,,,0,0,28,4,0,0,820,24,it ITA,False
Folarin Balogun,us USA,FW,Monaco,Ligue 1,23.0,13,615,7,4,0,,,0,0,1,0,0,4,85,1,fr FRA,False
Mario Balotelli,it ITA,"FW,MF",Genoa,Serie A,34.0,6,62,0,0,0,,,0,0,0,2,0,0,4,0,it ITA,True
Abdoulaye Bamba,ci CIV,DF,Angers,Ligue 1,35.0,19,1510,16,0,0,,,0,0,22,2,0,2,518,19,fr FRA,False
Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,La Liga,29.0,12,811,10,0,1,,,0,0,12,1,0,15,287,5,es ESP,False
Mohamed Bamba,ci CIV,MF,Reims,Ligue 1,20.0,2,10,0,0,0,,,0,0,0,0,0,0,16,0,fr FRA,False
Samuel Bamba,de GER,"FW,MF",Bochum,Bundesliga,21.0,5,27,0,0,0,,,0,0,1,0,0,1,17,0,de GER,True
Lameck Banda,zm ZAM,"FW,MF",Lecce,Serie A,24.0,15,610,6,0,1,,,0,0,8,1,0,10,125,2,it ITA,False
Daniel Bandeira,pt POR,MF,Hellas Verona,Serie A,25.0,11,407,4,0,0,,,0,0,4,1,0,1,194,6,it ITA,False
Mattia Bani,it ITA,DF,Genoa,Serie A,31.0,18,1355,17,0,0,,,0,0,18,3,0,2,697,19,it ITA,True
Noahkai Banks,us USA,DF,Augsburg,Bundesliga,18.0,8,278,2,0,0,,,0,0,11,2,0,0,156,5,de GER,False
Scott Banks,sct SCO,"FW,MF",St. Pauli,Bundesliga,23.0,11,101,0,0,0,,,0,0,1,1,0,2,18,2,de GER,False
Adrian Baquerin,es ESP,FW,Valladolid,La Liga,18.0,3,12,0,0,0,,,0,0,0,0,0,0,3,0,es ESP,True
Antonín Barák,cz CZE,MF,Fiorentina,Serie A,30.0,1,54,1,0,0,,,0,0,2,0,0,0,17,0,it ITA,False
Federico Barba,it ITA,DF,Como,Serie A,31.0,7,431,5,0,0,,,0,0,2,0,0,0,258,4,it ITA,True
Valentín Barco,ar ARG,"MF,DF",Strasbourg,Ligue 1,20.0,13,1085,13,0,2,,,0,0,36,2,0,9,594,11,fr FRA,False
Bradley Barcola,fr FRA,FW,Paris S-G,Ligue 1,22.0,33,2122,26,14,10,,,0,0,26,2,0,33,733,19,fr FRA,True
Melvin Bard,fr FRA,"DF,MF",Nice,Ligue 1,24.0,23,1848,21,2,0,,,0,0,52,4,2,22,870,29,fr FRA,True
Nicolò Barella,it ITA,MF,Inter,Serie A,28.0,31,2372,28,3,6,,,0,0,48,4,0,23,1392,10,it ITA,True
Gabriel Bares,ch SUI,"MF,DF",Montpellier,Ligue 1,24.0,6,56,0,0,0,,,0,0,2,0,0,1,34,1,fr FRA,False
Borna Barišić,hr CRO,DF,Leganés,La Liga,32.0,1,9,1,0,0,,,0,0,0,0,0,0,3,0,es ESP,False
Kike Barja,es ESP,"FW,MF",Osasuna,La Liga,28.0,13,266,3,0,0,,,0,0,5,3,0,6,67,3,es ESP,True
Ross Barkley,eng ENG,MF,Aston Villa,Premier League,31.0,18,571,3,3,1,,,0,0,14,3,0,8,326,10,eng ENG,True
Aymen Barkok,ma MAR,MF,Mainz 05,Bundesliga,26.0,4,73,0,0,0,,,0,0,2,0,0,0,26,2,de GER,False
Harvey Barnes,eng ENG,FW,Newcastle Utd,Premier League,27.0,31,1593,15,9,4,,,0,0,16,0,0,24,443,6,eng ENG,True
Enzo Barrenechea,ar ARG,MF,Valencia,La Liga,23.0,27,1921,23,1,2,,,0,0,52,6,0,11,1003,25,es ESP,False
Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,La Liga,23.0,27,1156,13,1,3,,,0,0,23,6,0,24,340,11,es ESP,True
Pablo Barrios,es ESP,MF,Atlético Madrid,La Liga,21.0,29,2266,27,1,4,,,0,0,44,4,1,25,1271,34,es ESP,True
Thierno Barry,fr FRA,FW,Villarreal,La Liga,22.0,33,2188,24,11,3,,,1,1,11,4,0,15,198,0,es ESP,False
Davide Bartesaghi,it ITA,"DF,MF",Milan,Serie A,19.0,3,58,0,0,0,,,0,0,2,0,1,0,21,2,it ITA,True
Marc Bartra,es ESP,DF,Betis,La Liga,34.0,23,1937,21,2,1,,,0,0,30,1,0,7,883,31,es ESP,True
Federico Baschirotto,it ITA,DF,Lecce,Serie A,28.0,36,3240,36,2,0,,,0,0,37,3,0,4,1349,23,it ITA,True
Daniele Baselli,it ITA,MF,Como,Serie A,33.0,2,22,1,0,0,,,0,0,0,0,0,0,24,1,it ITA,True
Calvin Bassey,ng NGA,DF,Fulham,Premier League,25.0,34,2984,33,1,0,,,0,0,53,7,0,15,1899,19,eng ENG,False
Aboubacar Bassinga,ci CIV,MF,Las Palmas,La Liga,19.0,1,4,0,0,0,,,0,0,0,0,0,0,2,0,es ESP,False
Alessandro Bastoni,it ITA,DF,Inter,Serie A,26.0,32,2312,30,1,5,,,0,0,42,6,1,7,1906,22,it ITA,True
Augusto Batalla,ar ARG,GK,Rayo Vallecano,La Liga,29.0,29,2610,29,0,0,85.0,2.0,0,0,4,6,0,6,723,0,es ESP,False
Michy Batshuayi,be BEL,"FW,MF",Eint Frankfurt,Bundesliga,31.0,9,298,3,3,0,,,0,0,1,2,0,2,49,1,de GER,False
Dylan Batubinsika,cd COD,DF,Saint-Étienne,Ligue 1,29.0,24,1971,22,0,0,,,0,0,25,3,1,5,1075,38,fr FRA,False
Maximilian Bauer,de GER,DF,Augsburg,Bundesliga,25.0,11,658,8,0,0,,,0,0,14,1,0,0,275,6,de GER,True
Oliver Baumann,de GER,GK,Hoffenheim,Bundesliga,34.0,27,2430,27,0,0,83.0,3.0,0,0,2,1,0,1,713,0,de GER,True
Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,Bundesliga,25.0,30,1596,18,2,1,,,0,0,44,5,0,16,414,12,de GER,False
Rafael Bauza,es ESP,MF,Espanyol,La Liga,20.0,5,183,2,0,0,,,0,0,5,1,0,1,46,0,es ESP,True
Altay Bayındır,tr TUR,GK,Manchester Utd,Premier League,27.0,3,270,3,0,0,7.0,0.0,0,0,0,0,0,0,77,0,eng ENG,False
Adrian Beck,de GER,"MF,FW",Heidenheim,Bundesliga,27.0,31,1553,17,4,1,,,0,0,36,1,0,38,563,9,de GER,True
Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,La Liga,30.0,22,995,11,2,1,,,0,0,3,1,1,4,200,1,es ESP,False
Timo Becker,de GER,DF,Holstein Kiel,Bundesliga,28.0,29,2358,27,0,2,,,0,0,50,2,0,11,777,16,de GER,True
Jan Bednarek,pl POL,DF,Southampton,Premier League,29.0,30,2531,30,2,0,,,0,0,36,7,0,3,1564,56,eng ENG,False
Donny van de Beek,nl NED,MF,Girona,La Liga,28.0,26,1421,16,2,2,,,0,0,29,5,0,6,365,10,es ESP,False
Hannes Behrens,de GER,DF,Hoffenheim,Bundesliga,,1,29,0,0,0,,,0,0,1,0,0,1,16,2,de GER,True
Kevin Behrens,de GER,FW,Wolfsburg,Bundesliga,34.0,17,154,0,1,0,,,0,0,1,2,0,0,42,1,de GER,True
Maximilian Beier,de GER,"FW,MF",Dortmund,Bundesliga,22.0,29,1591,17,8,5,,,0,0,25,2,0,22,291,7,de GER,True
Luken Beitia,es ESP,DF,Real Sociedad,La Liga,20.0,1,8,0,0,0,,,0,0,1,0,0,0,5,0,es ESP,True
Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,La Liga,20.0,3,31,0,0,0,,,0,0,0,1,0,1,6,2,es ESP,False
Reda Belahyane,ma MAR,MF,Lazio,Serie A,20.0,6,198,1,0,0,,,0,0,8,0,1,3,85,1,it ITA,False
Haris Belkebla,dz ALG,MF,Angers,Ligue 1,31.0,22,1792,21,0,1,,,0,0,56,1,0,9,727,35,fr FRA,False
Yassin Belkhdim,fr FRA,MF,Angers,Ligue 1,23.0,29,1523,16,1,1,,,0,0,53,4,0,2,394,21,fr FRA,True
Stefan Bell,de GER,DF,Mainz 05,Bundesliga,33.0,17,1346,14,0,1,,,0,0,21,3,0,2,540,27,de GER,True
Armel Bella Kotchap,de GER,DF,Southampton,Premier League,23.0,4,331,2,0,0,,,0,0,7,0,0,0,202,5,eng ENG,False
Raoul Bellanova,it ITA,DF,Atalanta,Serie A,24.0,31,2215,25,0,8,,,0,0,23,3,0,20,919,18,it ITA,True
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,Premier League,26.0,33,1583,19,2,6,,,0,0,37,3,0,14,424,10,eng ENG,False
Héctor Bellerín,es ESP,DF,Betis,La Liga,30.0,9,580,6,0,2,,,0,0,13,1,0,6,270,6,es ESP,True
Jude Bellingham,eng ENG,MF,Real Madrid,La Liga,21.0,29,2308,27,8,8,,,1,2,57,4,1,37,1216,26,es ESP,False
Jeanuël Belocian,fr FRA,"DF,MF",Leverkusen,Bundesliga,20.0,5,68,1,0,0,,,0,0,1,1,0,1,34,0,de GER,False
Andrea Belotti,it ITA,FW,Como,Serie A,31.0,18,593,7,2,0,,,0,0,7,1,0,2,90,1,it ITA,True
Fran Beltrán,es ESP,MF,Celta Vigo,La Liga,26.0,31,2152,26,2,1,,,0,0,42,3,0,9,1190,24,es ESP,True
Lucas Beltrán,ar ARG,"MF,FW",Fiorentina,Serie A,24.0,31,1779,19,5,4,,,2,3,20,4,0,15,431,4,it ITA,False
Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,Ligue 1,20.0,32,1668,18,6,3,,,2,2,29,0,0,34,715,12,fr FRA,False
Carlos Benavídez,uy URU,MF,Alavés,La Liga,27.0,15,397,5,1,1,,,0,0,13,2,0,4,131,8,es ESP,False
Adrian Benedyczak,pl POL,"FW,MF",Parma,Serie A,24.0,9,214,2,0,0,,,0,0,0,0,0,0,35,0,it ITA,False
László Bénes,sk SVK,"MF,FW",Union Berlin,Bundesliga,27.0,22,586,3,2,1,,,0,0,2,4,0,1,222,3,de GER,False
Iker Benito,es ESP,"FW,MF",Osasuna,La Liga,22.0,2,37,0,0,0,,,0,0,0,0,0,0,9,1,es ESP,True
Ismaël Bennacer,dz ALG,MF,Marseille,Ligue 1,27.0,11,583,7,0,2,,,0,0,21,2,0,7,685,10,fr FRA,False
Saïd Benrahma,dz ALG,"FW,MF",Lyon,Ligue 1,29.0,13,735,9,1,3,,,0,0,9,0,0,8,258,3,fr FRA,False
Ramy Bensebaini,dz ALG,DF,Dortmund,Bundesliga,30.0,30,1932,22,1,6,,,0,0,48,6,0,5,1171,29,de GER,False
Nabil Bentaleb,dz ALG,MF,Lille,Ligue 1,30.0,10,329,3,1,0,,,0,0,4,0,0,0,210,5,fr FRA,False
Rodrigo Bentancur,uy URU,MF,Tottenham,Premier League,27.0,24,1563,20,2,0,,,0,0,38,8,0,8,926,36,eng ENG,False
Daniel Bentley,eng ENG,GK,Wolves,Premier League,31.0,1,90,1,0,0,2.0,0.0,0,0,0,0,0,0,20,0,eng ENG,True
Lucas Beraldo,br BRA,DF,Paris S-G,Ligue 1,21.0,24,1994,22,1,0,,,0,0,38,6,0,1,2001,21,fr FRA,False
Yuri Berchiche,es ESP,DF,Athletic Club,La Liga,35.0,27,1774,19,0,2,,,0,0,33,4,0,6,1026,24,es ESP,True
Álex Berenguer,es ESP,"FW,MF",Athletic Club,La Liga,29.0,33,2070,25,5,7,,,0,1,29,5,0,29,570,9,es ESP,True
Sander Berge,no NOR,MF,Fulham,Premier League,27.0,29,2173,25,0,0,,,0,0,48,6,0,11,1060,21,eng ENG,False
Lucas Bergvall,se SWE,MF,Tottenham,Premier League,19.0,27,1212,11,0,1,,,0,0,39,3,0,21,629,24,eng ENG,False
Medon Berisha,al ALB,MF,Lecce,Serie A,21.0,16,657,6,0,1,,,0,0,12,5,0,3,300,10,it ITA,False
Mergim Berisha,de GER,FW,Augsburg,Bundesliga,27.0,2,40,0,0,0,,,0,0,1,1,0,0,6,0,de GER,True
Adrian Bernabe,es ESP,MF,Parma,Serie A,23.0,19,1355,18,1,0,,,0,0,28,1,0,15,762,6,it ITA,False
Marc Bernal,es ESP,MF,Barcelona,La Liga,17.0,3,242,3,0,0,,,0,0,8,2,0,2,148,1,es ESP,True
Bernardo,br BRA,DF,Bochum,Bundesliga,29.0,20,1692,18,0,0,,,0,0,45,5,0,3,697,25,de GER,False
Juan Bernat,es ESP,"MF,DF",Getafe,La Liga,32.0,13,690,9,0,1,,,0,0,18,0,0,12,142,2,es ESP,True
Maxime Bernauer,fr FRA,DF,Saint-Étienne,Ligue 1,26.0,9,674,7,0,0,,,0,0,8,2,0,1,371,5,fr FRA,True
Antoine Bernede,fr FRA,MF,Hellas Verona,Serie A,25.0,12,523,6,1,0,,,0,0,14,2,0,1,165,5,it ITA,False
Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,Bundesliga,26.0,18,1185,14,7,2,,,0,0,26,3,0,22,186,4,de GER,False
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,Premier League,22.0,29,2394,28,0,1,,,0,0,85,1,0,8,1011,40,eng ENG,False
Matúš Bero,sk SVK,MF,Bochum,Bundesliga,29.0,29,2475,28,5,2,,,0,1,62,11,0,18,861,17,de GER,False
Juan Berrocal,es ESP,DF,Getafe,La Liga,26.0,17,987,10,0,0,,,0,0,14,7,1,0,264,13,es ESP,True
Dimitry Bertaud,cd COD,GK,Montpellier,Ligue 1,26.0,3,270,3,0,0,8.0,0.0,0,0,0,0,0,0,63,0,fr FRA,False
Jan-Niklas Beste,de GER,"FW,MF",Freiburg,Bundesliga,26.0,12,212,0,0,1,,,0,0,2,0,0,2,70,1,de GER,True
Beto,gw GNB,FW,Everton,Premier League,27.0,28,1357,13,8,0,,,0,0,14,2,0,17,132,3,eng ENG,False
Sam Beukema,nl NED,DF,Bologna,Serie A,26.0,35,3012,33,0,1,,,0,0,54,1,0,1,1826,30,it ITA,False
Alessandro Bianco,it ITA,MF,Fiorentina,Serie A,22.0,1,18,0,0,0,,,0,0,0,0,0,0,9,0,it ITA,True
Mika Biereth,dk DEN,FW,Monaco,Ligue 1,22.0,16,1228,16,13,2,,,1,2,5,0,0,1,149,4,fr FRA,False
Jaka Bijol,si SVN,DF,Udinese,Serie A,26.0,33,2925,33,1,0,,,0,0,43,11,0,2,1401,38,it ITA,False
El Bilal Touré,ml MLI,"FW,MF",Stuttgart,Bundesliga,23.0,12,356,3,2,1,,,0,0,4,0,0,3,75,0,de GER,False
Philip Billing,dk DEN,MF,Napoli,Serie A,28.0,8,169,1,1,0,,,0,0,9,1,0,2,67,4,it ITA,False
Cristiano Biraghi,it ITA,DF,Fiorentina,Serie A,32.0,8,433,5,1,0,,,0,0,4,1,0,0,259,4,it ITA,True
Samuele Birindelli,it ITA,DF,Monza,Serie A,25.0,19,1288,16,2,0,,,0,0,18,2,0,5,415,9,it ITA,True
Tom Bischof,de GER,"MF,FW",Hoffenheim,Bundesliga,19.0,30,2493,29,5,2,,,0,0,94,5,0,27,1192,29,de GER,True
Yves Bissouma,ml MLI,MF,Tottenham,Premier League,28.0,26,1345,16,2,0,,,0,0,48,7,0,7,737,17,eng ENG,False
Leonardo Bittencourt,de GER,MF,Werder Bremen,Bundesliga,31.0,26,963,10,2,1,,,0,0,25,3,0,1,556,14,de GER,True
Emmanuel Biumla,fr FRA,DF,Angers,Ligue 1,20.0,16,1318,15,1,0,,,0,0,19,2,0,7,439,8,fr FRA,True
Marco Bizot,nl NED,GK,Brest,Ligue 1,34.0,31,2790,31,0,0,71.0,1.0,0,0,2,4,0,0,745,0,fr FRA,False
Bjarki Bjarkason,is ISL,"DF,MF",Venezia,Serie A,25.0,9,165,1,0,0,,,0,0,3,2,0,1,78,2,it ITA,False
Antonio Blanco,es ESP,MF,Alavés,La Liga,24.0,32,2469,29,0,1,,,0,0,63,11,1,14,916,40,es ESP,True
Ludovic Blas,fr FRA,"MF,FW",Rennes,Ligue 1,27.0,28,2223,25,6,8,,,0,0,37,6,0,43,676,13,fr FRA,True
Daley Blind,nl NED,DF,Girona,La Liga,35.0,31,2510,28,0,2,,,0,0,41,2,0,13,2154,24,es ESP,False
Myron Boadu,nl NED,FW,Bochum,Bundesliga,24.0,18,966,10,7,1,,,1,1,2,2,0,7,129,1,de GER,False
Augustine Boakye,gh GHA,"FW,MF",Saint-Étienne,Ligue 1,24.0,17,733,8,3,0,,,0,0,7,5,0,13,192,6,fr FRA,False
Oscar Bobb,no NOR,FW,Manchester City,Premier League,21.0,2,15,0,0,0,,,0,0,0,0,0,2,9,0,eng ENG,False
Mathéo Bodmer,fr FRA,MF,Le Havre,Ligue 1,21.0,1,6,0,0,0,,,0,0,0,0,0,0,2,0,fr FRA,True
Sacha Boey,fr FRA,DF,Bayern Munich,Bundesliga,24.0,12,569,6,0,1,,,0,0,18,1,0,6,449,2,de GER,False
Jeremie Boga,ci CIV,"MF,FW",Nice,Ligue 1,28.0,21,1054,12,1,2,,,0,0,10,0,0,25,329,3,fr FRA,False
Lamare Bogarde,nl NED,"DF,MF",Aston Villa,Premier League,21.0,8,476,5,0,0,,,0,0,14,2,0,2,240,1,eng ENG,False
Emil Bohinen,no NOR,MF,Genoa,Serie A,26.0,3,166,1,0,0,,,0,0,4,0,0,0,69,1,it ITA,False
Adama Boiro,es ESP,DF,Athletic Club,La Liga,22.0,16,1004,12,0,0,,,0,0,20,2,0,8,382,12,es ESP,True
Willy Boly,ci CIV,DF,Nott'ham Forest,Premier League,34.0,6,150,1,0,0,,,0,0,6,1,0,0,55,3,eng ENG,False
Moïse Bombito,ca CAN,DF,Nice,Ligue 1,25.0,26,2102,24,0,0,,,0,0,36,3,1,12,1225,18,fr FRA,False
Warren Bondo,fr FRA,MF,Milan,Serie A,21.0,4,162,3,0,0,,,0,0,5,1,0,1,77,0,it ITA,False
Victor Boniface,ng NGA,FW,Leverkusen,Bundesliga,24.0,19,1008,12,8,1,,,0,1,5,2,0,15,172,0,de GER,False
Kevin Bonifazi,it ITA,DF,Lecce,Serie A,28.0,3,65,0,0,0,,,0,0,1,0,0,1,37,2,it ITA,True
Ange-Yoan Bonny,fr FRA,FW,Parma,Serie A,21.0,35,2357,28,6,3,,,2,3,34,2,0,31,400,3,it ITA,False
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,Bundesliga,26.0,14,787,8,2,1,,,0,0,9,2,0,0,270,12,de GER,False
Sven Botman,nl NED,DF,Newcastle Utd,Premier League,25.0,6,287,4,0,0,,,0,0,8,1,0,1,152,5,eng ENG,False
Saïmon Bouabré,fr FRA,"MF,FW",Monaco,Ligue 1,18.0,2,72,1,0,0,,,0,0,0,0,0,0,14,0,fr FRA,True
Ayyoub Bouaddi,fr FRA,MF,Lille,Ligue 1,17.0,23,1072,10,0,1,,,0,0,49,2,0,14,454,10,fr FRA,True
Badredine Bouanani,dz ALG,"MF,FW",Nice,Ligue 1,20.0,25,1031,10,2,3,,,0,0,11,2,0,13,318,9,fr FRA,False
Benjamin Bouchouari,ma MAR,MF,Saint-Étienne,Ligue 1,23.0,23,1659,19,1,0,,,0,0,31,5,0,25,842,17,fr FRA,False
Hicham Boudaoui,dz ALG,MF,Nice,Ligue 1,25.0,28,2345,26,2,2,,,0,0,75,9,0,23,906,22,fr FRA,False
Carlo Boukhalfa,ma MAR,MF,St. Pauli,Bundesliga,26.0,24,1556,18,2,0,,,0,0,25,1,0,12,301,12,de GER,False
Justin Bourgault,fr FRA,DF,Brest,Ligue 1,19.0,2,122,2,1,0,,,0,0,2,0,0,0,54,0,fr FRA,True
Benjamin Bourigeaud,fr FRA,MF,Rennes,Ligue 1,31.0,1,80,1,1,0,,,0,0,1,0,0,1,36,2,fr FRA,True
Edoardo Bove,it ITA,"MF,FW",Fiorentina,Serie A,22.0,12,851,11,1,2,,,0,0,24,3,0,7,282,6,it ITA,True
Jarrod Bowen,eng ENG,"FW,MF",West Ham,Premier League,28.0,32,2793,32,11,7,,,1,1,38,1,0,40,524,16,eng ENG,True
Enzo Boyomo,cm CMR,DF,Valladolid,La Liga,23.0,3,270,3,0,0,,,0,0,6,0,0,1,174,1,es ESP,False
Domagoj Bradarić,hr CRO,DF,Hellas Verona,Serie A,25.0,26,1766,22,0,0,,,0,0,32,6,0,14,530,14,it ITA,False
Conor Bradley,nir NIR,DF,Liverpool,Premier League,21.0,17,633,5,0,1,,,0,0,13,4,0,9,389,3,eng ENG,False
Bilal Brahimi,dz ALG,MF,Nice,Ligue 1,25.0,2,76,1,0,0,,,0,0,0,0,0,0,35,0,fr FRA,False
Julian Brandt,de GER,MF,Dortmund,Bundesliga,29.0,29,2219,27,5,9,,,0,0,25,1,0,18,915,14,de GER,True
Jarrad Branthwaite,eng ENG,DF,Everton,Premier League,22.0,29,2438,27,0,1,,,0,0,36,4,0,3,936,25,eng ENG,True
Darko Brašanac,rs SRB,MF,Leganés,La Liga,33.0,28,1572,15,1,2,,,0,0,26,4,0,2,352,15,es ESP,False
Lilian Brassier,fr FRA,DF,Rennes,Ligue 1,25.0,13,1144,13,1,0,,,0,0,15,1,0,2,744,21,fr FRA,True
Matthias Braunöder,at AUT,MF,Como,Serie A,23.0,8,268,3,0,0,,,0,0,10,3,1,1,128,2,it ITA,False
Iker Bravo,es ESP,"FW,MF",Udinese,Serie A,20.0,28,668,4,2,1,,,0,0,9,3,0,11,157,1,it ITA,False
James Bree,eng ENG,DF,Southampton,Premier League,27.0,16,985,12,0,1,,,0,0,18,0,0,4,459,8,eng ENG,True
Tim Breithaupt,de GER,MF,Augsburg,Bundesliga,23.0,2,120,2,0,1,,,0,0,1,0,0,2,58,2,de GER,True
Gleison Bremer,br BRA,DF,Juventus,Serie A,28.0,6,540,6,0,0,,,0,0,15,2,0,3,468,6,it ITA,False
Brenner,br BRA,"MF,FW",Udinese,Serie A,25.0,9,386,5,1,2,,,0,0,6,0,0,3,87,1,it ITA,False
Ben Brereton,cl CHI,FW,Southampton,Premier League,26.0,10,449,4,0,0,,,0,0,3,1,0,1,128,0,eng ENG,False
Marco Brescianini,it ITA,MF,Atalanta,Serie A,25.0,26,861,7,4,2,,,0,0,16,1,0,7,278,2,it ITA,True
Maximilian Breunig,de GER,"FW,MF",Heidenheim,Bundesliga,24.0,13,350,2,2,0,,,1,1,4,0,0,3,47,1,de GER,True
Anthony Briançon,fr FRA,DF,Saint-Étienne,Ligue 1,30.0,1,1,0,0,0,,,0,0,0,0,0,0,0,0,fr FRA,True
Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,Premier League,27.0,16,605,6,1,0,,,0,0,7,1,0,16,149,4,eng ENG,False
Armando Broja,al ALB,FW,Everton,Premier League,23.0,10,334,4,0,0,,,0,0,3,1,0,8,53,1,eng ENG,False
David Brooks,wls WAL,"FW,MF",Bournemouth,Premier League,27.0,27,853,8,2,0,,,0,0,12,3,0,8,268,5,eng ENG,False
Arvid Brorsson,se SWE,DF,Monza,Serie A,26.0,5,272,2,0,0,,,0,0,4,0,0,0,134,2,it ITA,False
Moritz Broschinski,de GER,"FW,MF",Bochum,Bundesliga,24.0,32,1376,15,1,3,,,0,0,18,1,0,14,185,1,de GER,True
Nathaniel Brown,de GER,"DF,MF",Eint Frankfurt,Bundesliga,21.0,25,1857,21,3,6,,,0,0,63,1,0,10,713,15,de GER,True
Jacob Bruun Larsen,dk DEN,"MF,FW",Stuttgart,Bundesliga,26.0,14,407,3,1,0,,,0,0,1,1,0,10,114,1,de GER,False
Tajon Buchanan,ca CAN,MF,Villarreal,La Liga,26.0,10,297,3,0,1,,,0,0,7,2,0,10,74,1,es ESP,False
Ante Budimir,hr CRO,FW,Osasuna,La Liga,33.0,35,2698,31,19,4,,,8,8,20,4,0,10,224,2,es ESP,False
Emi Buendía,ar ARG,MF,Leverkusen,Bundesliga,28.0,10,253,3,2,0,,,0,0,6,0,0,5,121,0,de GER,False
Manu Bueno,es ESP,"MF,FW",Sevilla,La Liga,20.0,7,114,1,1,0,,,0,0,4,0,0,1,51,0,es ESP,True
Santiago Bueno,uy URU,DF,Wolves,Premier League,26.0,28,1683,18,0,0,,,0,0,40,2,0,0,741,15,eng ENG,False
Endika Buján,es ESP,FW,Athletic Club,La Liga,22.0,1,7,0,0,0,,,0,0,0,0,0,1,4,0,es ESP,True
Marius Bülter,de GER,"FW,DF",Hoffenheim,Bundesliga,32.0,24,1684,22,7,2,,,0,0,11,4,0,22,373,3,de GER,True
Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,Premier League,20.0,30,1504,14,5,2,,,0,0,53,8,0,28,435,12,eng ENG,False
Alessandro Buongiorno,it ITA,DF,Napoli,Serie A,25.0,22,1924,22,1,0,,,0,0,39,2,0,1,1161,35,it ITA,True
Cameron Burgess,au AUS,DF,Ipswich Town,Premier League,29.0,18,1541,16,0,2,,,0,0,17,0,0,0,626,14,eng ENG,False
Jonathan Burkardt,de GER,FW,Mainz 05,Bundesliga,24.0,28,2020,27,17,2,,,1,1,14,0,0,15,369,1,de GER,True
Oliver Burke,sct SCO,FW,Werder Bremen,Bundesliga,28.0,25,908,9,5,0,,,0,0,11,4,0,7,179,2,de GER,False
Dan Burn,eng ENG,DF,Newcastle Utd,Premier League,33.0,35,3150,35,1,1,,,0,0,35,10,0,3,1677,26,eng ENG,True
Rareș-Cătălin Burnete,ro ROU,FW,Lecce,Serie A,21.0,3,25,0,0,0,,,0,0,0,0,0,0,5,0,it ITA,False
Wes Burns,wls WAL,"FW,DF",Ipswich Town,Premier League,30.0,18,926,12,0,1,,,0,0,13,1,0,9,153,10,eng ENG,False
Marnon Busch,de GER,"DF,MF",Heidenheim,Bundesliga,30.0,23,1396,15,0,1,,,0,0,26,1,0,3,614,13,de GER,True
Gianluca Busio,us USA,MF,Venezia,Serie A,22.0,31,2338,26,2,0,,,0,0,45,3,0,14,652,18,it ITA,False
Aurélio Buta,pt POR,DF,Reims,Ligue 1,28.0,26,1912,23,0,1,,,0,0,36,5,0,9,810,21,fr FRA,False
Jean Butez,fr FRA,GK,Como,Serie A,29.0,17,1530,17,0,0,44.0,0.0,0,0,0,0,0,0,536,0,it ITA,False
Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,Premier League,22.0,1,7,0,0,0,,,0,0,0,0,0,0,0,0,eng ENG,True
Marcin Bułka,pl POL,GK,Nice,Ligue 1,25.0,33,2970,33,0,0,119.0,1.0,0,0,0,0,0,0,870,0,fr FRA,False
Pau Cabanes,es ESP,"MF,FW",Alavés,La Liga,20.0,6,188,2,0,0,,,0,0,8,1,0,4,59,0,es ESP,True
