Jugador,Nacionalidad,Posicion,Equipo,Competicion,Edad,Partidos jugados,Minutos jugados,Titularidades,Goles,Asistencias,Atajadas,Penales atajados,Penales convertidos,Penales ejecutados,Entradas (tackles),Tarjetas amarillas,Tarjetas rojas,Regates exitosos,Pases completados,Intercepciones,Nac_Esperada,Es_autoctono
Andrea Colpani,it ITA,"FW,MF",Fiorentina,Serie A,26.0,23,1434,18,2,1,,,0,0,15,1,0,10,368,9,it ITA,True
Levi Colwill,eng ENG,DF,Chelsea,Premier League,22.0,33,2969,33,1,1,,,0,0,45,9,0,6,2252,32,eng ENG,True
Florinel Coman,ro ROU,"FW,MF",Cagliari,Serie A,27.0,9,263,2,1,0,,,0,0,5,2,0,2,67,1,it ITA,False
Kingsley Coman,fr FRA,FW,Bayern Munich,Bundesliga,28.0,27,1222,13,5,4,,,0,0,15,0,0,37,592,8,de GER,False
Eray Cömert,ch SUI,"DF,MF",Valladolid,La Liga,27.0,23,1599,19,0,0,,,0,0,21,6,0,3,699,21,es ESP,False
Santi Comesaña,es ESP,MF,Villarreal,La Liga,28.0,33,2443,29,3,2,,,0,0,84,7,0,16,1128,19,es ESP,True
Pietro Comuzzo,it ITA,DF,Fiorentina,Serie A,20.0,31,2084,22,0,0,,,0,0,41,5,0,0,1024,27,it ITA,True
Francisco Conceição,pt POR,"FW,MF",Juventus,Serie A,22.0,24,1166,10,3,3,,,0,0,18,5,1,32,370,5,it ITA,False
Diego Conde,es ESP,GK,Villarreal,La Liga,26.0,21,1872,21,0,1,58.0,0.0,0,0,2,2,0,0,486,1,es ESP,True
Tomás Conechny,ar ARG,"FW,MF",Alavés,La Liga,27.0,19,792,9,1,0,,,0,0,12,6,0,4,198,6,es ESP,False
Alois Confais,fr FRA,MF,Le Havre,Ligue 1,28.0,1,3,0,0,0,,,0,0,0,0,0,0,1,0,fr FRA,True
Sirlord Conteh,de GER,"FW,MF",Heidenheim,Bundesliga,28.0,29,892,4,1,1,,,0,0,9,2,0,6,158,1,de GER,True
Lewis Cook,eng ENG,"MF,DF",Bournemouth,Premier League,28.0,35,2906,31,1,3,,,0,0,81,8,0,12,1192,40,eng ENG,True
Copete,es ESP,DF,Mallorca,La Liga,25.0,24,1438,15,0,0,,,0,0,27,6,0,4,617,17,es ESP,True
Diego Coppola,it ITA,DF,Hellas Verona,Serie A,21.0,32,2747,31,2,0,,,0,0,65,10,0,1,890,69,it ITA,True
Francis Coquelin,fr FRA,MF,Nantes,Ligue 1,33.0,5,152,2,0,1,,,0,0,6,0,0,1,63,5,fr FRA,True
Iker Córdoba,es ESP,DF,Valencia,La Liga,19.0,2,15,0,0,0,,,0,0,0,0,0,0,9,0,es ESP,True
Derek Cornelius,ca CAN,DF,Marseille,Ligue 1,27.0,21,1420,17,0,0,,,0,0,24,9,2,0,1267,14,fr FRA,False
Maxwel Cornet,ci CIV,"FW,MF",Genoa,Serie A,28.0,6,237,2,2,1,,,0,0,2,0,0,3,49,2,it ITA,False
Pierre Cornud,fr FRA,DF,Saint-Étienne,Ligue 1,28.0,11,576,7,0,0,,,0,0,12,2,0,2,271,9,fr FRA,True
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,La Liga,30.0,28,746,3,3,1,,,0,0,8,3,1,12,186,4,es ESP,False
Joaquín Correa,ar ARG,"FW,MF",Inter,Serie A,30.0,17,606,5,1,2,,,0,0,10,3,0,1,255,0,it ITA,False
Thierry Correia,pt POR,DF,Valencia,La Liga,26.0,11,768,9,0,0,,,0,0,27,1,0,8,330,4,es ESP,False
Alberto costa,pt POR,DF,Juventus,Serie A,21.0,7,222,1,0,0,,,0,0,11,2,0,3,113,2,it ITA,False
Coba da Costa,es ESP,"MF,FW",Getafe,La Liga,22.0,17,921,11,1,1,,,0,0,29,4,0,16,176,7,es ESP,True
Danny da Costa,de GER,DF,Mainz 05,Bundesliga,31.0,24,1916,24,0,1,,,0,0,41,0,0,6,914,27,de GER,True
David Costa,pt POR,"MF,FW",Lens,Ligue 1,24.0,11,352,3,0,0,,,0,0,2,0,1,2,128,1,fr FRA,False
